Carrier,delay_chance
MQ,0.3126789898463942
EV,0.2691678207226489
B6,0.25141288551590507
F9,0.2422272470322216
WN,0.2364978137259985
AA,0.22800909968288985
9E,0.22006755911422496
FL,0.217734200149206
YV,0.21504965622612682
VX,0.21311475409836064
UA,0.2117314930991217
OO,0.20425190037698535
US,0.19197829220724158
DL,0.15594303830362247
AS,0.12344766410408042
HA,0.07716870675891431
