OriginAirportID,DestAirportID,delay_chance
13495,11278,1.0
14122,14492,1.0
11042,14027,1.0
14635,14307,1.0
12478,14524,0.7272727272727273
11618,13851,0.7222222222222222
11042,14100,0.6923076923076923
13796,10721,0.6666666666666666
14893,12478,0.6363636363636364
11292,14492,0.6071428571428571
14635,10792,0.6
13487,14524,0.5833333333333334
13244,11292,0.5833333333333334
11298,13830,0.5789473684210527
13244,11618,0.5686274509803921
12191,12953,0.56
10800,12478,0.5555555555555556
10721,13796,0.5555555555555556
14100,14057,0.55
12264,12953,0.5391304347826087
13232,14869,0.5384615384615384
11292,12451,0.5294117647058824
14307,11618,0.5263157894736842
11292,14307,0.52
13232,13891,0.5172413793103449
13930,10140,0.5106382978723404
12339,14100,0.5
11057,13342,0.5
10423,10721,0.5
11618,10821,0.5
14843,12264,0.5
12478,14730,0.5
14635,12953,0.5
12451,13487,0.5
14771,14893,0.496
12478,11193,0.49019607843137253
12264,14730,0.48
14057,11057,0.48
12478,13198,0.47619047619047616
15016,11697,0.47058823529411764
13342,12478,0.47058823529411764
14771,14492,0.46875
12478,13342,0.46153846153846156
13232,10529,0.46153846153846156
11433,12451,0.46153846153846156
12478,11042,0.45454545454545453
13342,13495,0.45454545454545453
13232,10140,0.4528301886792453
13931,12478,0.45161290322580644
13232,14771,0.45098039215686275
14683,11618,0.45
13232,14893,0.4482758620689655
11066,12478,0.44776119402985076
10693,12478,0.4444444444444444
12478,11066,0.4418604651162791
13931,11618,0.4411764705882353
13930,13495,0.4383561643835616
11292,10529,0.4375
11278,14100,0.4375
14831,12478,0.4375
13198,12478,0.43478260869565216
11618,11278,0.43243243243243246
15376,13487,0.42857142857142855
13495,11042,0.42857142857142855
14570,12266,0.42857142857142855
13232,15376,0.42857142857142855
14843,10529,0.42857142857142855
13232,14570,0.42857142857142855
10821,11618,0.42857142857142855
10299,11298,0.42857142857142855
14893,14100,0.42857142857142855
11618,14524,0.4270833333333333
13232,13796,0.421875
13931,13487,0.42105263157894735
14107,14492,0.42105263157894735
11697,14524,0.42105263157894735
13232,14100,0.4198473282442748
12889,14730,0.4166666666666667
12264,14893,0.4166666666666667
15376,14771,0.4166666666666667
13232,14057,0.41304347826086957
11193,12264,0.4117647058823529
14771,13851,0.4117647058823529
11066,12892,0.4090909090909091
13342,14747,0.4090909090909091
12889,14771,0.40824742268041236
14893,14771,0.40816326530612246
14570,14747,0.4074074074074074
