DayOfWeek,DestAirportID,delay_chance
4,11618,0.4095238095238095
4,12953,0.37446808510638296
5,14027,0.3484848484848485
4,12478,0.3479236812570146
4,13931,0.3448275862068966
4,14100,0.3439767779390421
5,11618,0.3385416666666667
5,12953,0.33712984054669703
5,14570,0.3333333333333333
7,14771,0.33276740237691
4,13930,0.32762312633832974
1,12953,0.32710280373831774
4,12191,0.32653061224489793
4,10423,0.3261904761904762
1,14771,0.32516339869281047
5,14771,0.32195121951219513
4,10792,0.32098765432098764
5,14524,0.32098765432098764
4,14307,0.3161290322580645
4,14771,0.31470829909613807
3,13851,0.31313131313131315
4,14524,0.31216931216931215
4,13198,0.31019522776572667
5,10792,0.3101851851851852
5,13851,0.3059360730593607
1,11618,0.305870236869207
4,13891,0.3048128342245989
5,14730,0.3045977011494253
5,14100,0.30428360413589367
4,13851,0.30288461538461536
1,10529,0.3
3,12478,0.29854368932038833
4,11259,0.2981366459627329
5,13930,0.2973939703628002
4,13796,0.29649595687331537
5,11066,0.29277566539923955
4,10721,0.2907869481765835
4,14683,0.2907608695652174
3,11618,0.2905894519131334
1,10792,0.2897196261682243
4,10529,0.2889908256880734
4,13232,0.28879892037786775
5,14307,0.2878787878787879
3,14307,0.28662420382165604
3,13930,0.2849767681982447
4,13871,0.2849740932642487
3,14730,0.2848101265822785
5,11697,0.2817796610169492
5,12478,0.28085642317380355
4,15376,0.2807017543859649
2,14771,0.27918367346938777
5,12451,0.2785388127853881
3,14100,0.2776243093922652
3,14771,0.27755430410297666
5,12264,0.2772808586762075
5,10423,0.27710843373493976
7,14730,0.27702702702702703
3,12953,0.27689030883919064
4,12451,0.2753623188405797
1,13851,0.275
5,11278,0.2744186046511628
1,14307,0.2727272727272727
4,12264,0.2725563909774436
5,14843,0.271356783919598
4,14492,0.2711864406779661
2,11618,0.2702702702702703
1,13871,0.2702702702702703
5,14683,0.27009646302250806
3,13871,0.27
1,12478,0.2694063926940639
4,14893,0.2683544303797468
4,14122,0.2676470588235294
5,10693,0.2665289256198347
3,11066,0.26595744680851063
4,14843,0.26455026455026454
4,10693,0.2631578947368421
4,11292,0.26309067688378035
5,10529,0.26108374384236455
2,10529,0.26108374384236455
4,11066,0.26104417670682734
5,10140,0.2610294117647059
3,11292,0.26078167115902967
1,13342,0.25878594249201275
4,12339,0.2585551330798479
4,12266,0.25809273840769903
4,10821,0.2575957727873184
4,11278,0.256797583081571
5,13244,0.25666666666666665
5,11042,0.256198347107438
4,14679,0.2559171597633136
4,15016,0.255859375
4,10140,0.25572519083969464
3,13232,0.2554347826086957
4,15304,0.2554027504911591
1,10140,0.25496688741721857
3,13495,0.25392670157068065
5,10721,0.25376128385155466
5,15016,0.2537313432835821
4,14027,0.2534246575342466
4,14635,0.25274725274725274
4,11298,0.2506476683937824
3,10140,0.25
3,10529,0.25
7,11618,0.25
5,15304,0.25
3,10423,0.2494061757719715
1,13930,0.24873864783047428
5,14492,0.24822695035460993
3,14683,0.24793388429752067
5,12191,0.24766355140186916
5,13198,0.2471131639722864
4,14730,0.2463768115942029
1,11066,0.24583333333333332
6,14524,0.2457627118644068
1,11292,0.2454484153742414
2,12953,0.24536532170119957
5,14122,0.24489795918367346
7,13796,0.24429967426710097
2,14122,0.24429967426710097
4,11433,0.244136460554371
7,13851,0.24413145539906103
5,14679,0.24411764705882352
2,12478,0.2436670687575392
5,12266,0.24337121212121213
4,11697,0.2431865828092243
3,13342,0.24307692307692308
3,11259,0.24203821656050956
4,12892,0.2420197330237957
5,13232,0.2418478260869565
1,12264,0.24166666666666667
5,13931,0.24161073825503357
4,11057,0.2413793103448276
1,14570,0.24113475177304963
4,11042,0.24102564102564103
4,13342,0.2408026755852843
2,13930,0.24062816616008106
5,12889,0.24046140195208518
6,14771,0.24
2,13342,0.23948220064724918
3,11278,0.23885350318471338
1,11697,0.23868312757201646
7,10529,0.23863636363636365
7,14570,0.23841059602649006
3,12264,0.23792486583184258
7,12892,0.2372678250449371
7,14843,0.23696682464454977
2,14307,0.23668639053254437
3,14843,0.23645320197044334
1,12339,0.23591549295774647
1,14100,0.23580786026200873
7,14679,0.23580034423407917
1,10721,0.23579545454545456
7,14027,0.2356687898089172
1,12451,0.23557692307692307
3,13931,0.23529411764705882
4,13303,0.23510466988727857
5,13796,0.23497267759562843
5,15376,0.23493975903614459
1,14843,0.23469387755102042
1,14524,0.2346368715083799
4,12889,0.2339688041594454
4,13495,0.23380281690140844
3,13891,0.23369565217391305
1,14122,0.2334384858044164
5,11259,0.23297491039426524
